Modo,Instância,hms,par,OFV,Status
ajuste,b/instance_0005.txt,40,0.7,19.98,OK
ajuste,b/instance_0005.txt,40,0.9,19.98,OK
ajuste,b/instance_0005.txt,50,0.1,19.98,OK
ajuste,b/instance_0005.txt,50,0.3,19.98,OK
ajuste,b/instance_0005.txt,50,0.5,19.98,OK
ajuste,b/instance_0005.txt,50,0.7,19.98,OK
ajuste,b/instance_0005.txt,50,0.9,19.98,OK
ajuste,a/instance_0010.txt,10,0.1,3.3095238095238093,OK
ajuste,a/instance_0010.txt,10,0.3,3.3095238095238093,OK
ajuste,a/instance_0010.txt,10,0.5,3.3095238095238093,OK
ajuste,a/instance_0010.txt,10,0.7,3.3095238095238093,OK
ajuste,a/instance_0010.txt,10,0.9,3.3095238095238093,OK
ajuste,a/instance_0010.txt,20,0.1,3.3095238095238093,OK
ajuste,a/instance_0010.txt,20,0.3,3.3095238095238093,OK
ajuste,a/instance_0010.txt,20,0.5,3.3095238095238093,OK
ajuste,a/instance_0010.txt,20,0.7,3.3095238095238093,OK
ajuste,a/instance_0010.txt,20,0.9,3.3095238095238093,OK
ajuste,a/instance_0010.txt,30,0.1,3.3095238095238093,OK
ajuste,a/instance_0010.txt,30,0.3,3.3095238095238093,OK
ajuste,a/instance_0010.txt,30,0.5,3.3095238095238093,OK
ajuste,a/instance_0010.txt,30,0.7,3.3095238095238093,OK
ajuste,a/instance_0010.txt,30,0.9,3.3095238095238093,OK
ajuste,a/instance_0010.txt,40,0.1,3.3095238095238093,OK
ajuste,a/instance_0010.txt,40,0.3,3.3095238095238093,OK
ajuste,a/instance_0010.txt,40,0.5,3.3095238095238093,OK
ajuste,a/instance_0010.txt,40,0.7,3.3095238095238093,OK
ajuste,a/instance_0010.txt,40,0.9,3.3095238095238093,OK
ajuste,a/instance_0010.txt,50,0.1,3.3095238095238093,OK
ajuste,a/instance_0010.txt,50,0.3,3.3095238095238093,OK
ajuste,a/instance_0010.txt,50,0.5,3.3095238095238093,OK
ajuste,a/instance_0010.txt,50,0.7,3.3095238095238093,OK
